"","Year","Laydate","Individual ID","Breeding experience","Sex","Colour score","Age class","TL","Parasite intensity","Infected","Infection intensity score"
"2","2006","6","125140","2","0","6","3","1.712607624","1.078013481","1","4"
"3","2007","4","125140","2","0","6","3","0.226459884","1.257513096","1","4"
"4","2006","-14","167101","2","1","12","3","0.276464317","0.625523471","1","3"
"5","2009","-36","167101","2","1","11","3","1.068766637","0","0","0"
"6","2006","4","167172","2","0","6","3","1.390146293","3.852801383","1","5"
"7","2007","1","167172","2","0","7","3","0.220873016","0.464411028","1","3"
"8","2008","-17","167172","2","0","6","3","2.54337632","0.516043867","1","3"
"9","2009","-23","167172","2","0","6","3","0.862955466","0.000317652","1","1"
"10","2007","-3","177366","2","1","13","3","0.873395626","1.70417495","1","4"
"11","2008","-23","177366","2","1","13","3","2.768372845","0.613954741","1","3"
"12","2009","-38","177366","2","1","13","3","2.174269006","0","0","0"
"13","2006","-2","200093","2","0","6","3",NA,"0","0","0"
"14","2008","-1","200093","2","0","6","3","3.073593118","0.247175873","1","3"
"15","2009","-35","200093","2","0","6","3","1.617812852","0.000882751","1","1"
"16","2006","-28","200096","2","0","6","3","1.116222257","0.132777171","1","3"
"17","2008","-28","200096","2","0","8","3",NA,"0.139638554","1","3"
"18","2009","-33","200096","2","0","6","3","3.136799752","0.209285051","1","3"
"19","2006","-7","200100","2","1","6","3","0.286582055","2.821877969","1","4"
"20","2007","-1","200100","2","1","6","3","0.787531933","0.154499007","1","3"
"21","2008","2","200100","2","1","6","3","3.122792807","1.312019674","1","4"
"22","2009","-22","200100","2","1","6","3","1.934891486","0.074184246","1","2"
"23","2010","22","200100","2","1","6","3","3.018021472","0.258627301","1","3"
"24","2011","10","200100","2","1","6","3","1.616711052","0.180004439","1","3"
"25","2006","-11","200107","2","1","13","3","1.111878525","0.669220063","1","3"
"26","2007","-3","200107","2","1","13","3","0.21495082","0.319930975","1","3"
"27","2008","-11","200107","2","1","13","3","0.071155295","1.957230143","1","4"
"28","2009","-25","200107","2","1","13","3","0.551651652","0.040540541","1","2"
"29","2006","-30","200112","2","1","6","3","2.738507773","2.267740556","1","4"
"30","2008","-23","200112","2","1","6","3","2.738327518","1.122125297","1","4"
"31","2006","6","200140","2","1","9","3","0.198597097","0.002022482","1","1"
"32","2007","4","200140","2","1","9","3","0.43614623","3.289794364","1","5"
"33","2006","-11","200157","2","0","13","3","0.982512655","0.710538426","1","3"
"34","2007","-3","200157","2","0","12","3","0.189169638","2.871190339","1","4"
"35","2008","-11","200157","2","0","12","3","2.324253901","0.280260567","1","3"
"36","2009","-25","200157","2","0","12","3","1.280322581","0.000275806","1","1"
"37","2006","-15","207706","1","1","12","3","0.667888914","0.994346896","1","3"
"38","2008","-26","207706","2","1","11","3","0.527472834","0.514906659","1","3"
"39","2009","-37","207706","2","1","11","3","1.315167364","0.002257322","1","1"
"40","2008","-5","208813","2","0","13","3","0.314245837","1.177954005","1","4"
"41","2009","-30","208813","2","0","10","3","1.703789559","0.001989518","1","1"
"42","2011","0","208813","2","0","9","3","1.023741558","0.592525889","1","3"
"43","2006","-15","215042","2","0","6","3","1.349255024","1.367293192","1","4"
"44","2008","-26","215042","2","0","7","3","2.70941242","2.968532442","1","4"
"45","2009","-37","215042","2","0","6","3","1.156329114","0.005981013","1","1"
"46","2006","-30","215062","2","0","13","3","3.274880175","0.54170556","1","3"
"47","2008","-23","215062","2","0","12","3","1.787669544","0","0","0"
"48","2008","-14","215102","2","0","7","3","0.903093663","1.867719223","1","4"
"49","2009","-20","215102","2","0","7","3","1.463868613","0.002742336","1","1"
"50","2006","23","215152","2","1","8","2","0.308229179","0.073041993","1","2"
"51","2007","2","215152","2","1","8","3","0.618499299","2.237494156","1","4"
"52","2008","-5","215152","2","1","9","3","0.031055854","1.347088932","1","4"
"53","2009","-22","215152","2","1","7","3","0.436613677","0.03116326","1","2"
"54","2006","-28","215158","2","0","13","2","0.183255097","1.148195837","1","4"
"55","2007","-3","215158","2","0","12","3","0.060311123","0.177806253","1","3"
"56","2008","-23","215158","2","0","12","3","1.965684688","1.19779864","1","4"
"57","2009","-38","215158","2","0","12","3","0.240472826","0.037472826","1","2"
"58","2011","2","215158","2","0","11","3","1.475842881","1.037234043","1","4"
"59","2012","-4","215158","2","0","12","3","0.285560183","0.137442732","1","3"
"60","2006","0","215163","1","1","12","1","0.339264865","0.949670586","1","3"
"61","2008","-11","215163","2","1","12","3",NA,"0","0","0"
"62","2009","-21","215163","2","1","12","3","0.428938547","0.175139665","1","3"
"63","2006","-7","215168","2","0","7","3","0.652814595","0.9278029","1","3"
"64","2007","-1","215168","2","0","7","3","0.192393766","0.686391572","1","3"
"65","2008","2","215168","2","0","6","3","0.616143218","0.499535007","1","3"
"66","2009","-22","215168","2","0","5","3","1.175507813","1.098046875","1","4"
"67","2006","2","215174","2","1","12","3","1.689840465","2.974012963","1","4"
"68","2008","1","215174","2","1","12","3","1.510578512","0","0","0"
"69","2006","-6","215179","1","0","13","1","0.020463563","2.325807096","1","4"
"70","2007","8","215179","2","0","12","2","0.821765498","0.606769984","1","3"
"71","2009","-22","225003","2","0","6","3","1.279090909","0.003163636","1","1"
"72","2010","10","225003","2","0","8","3","0.819796424","1.145804677","1","4"
"73","2011","15","225003","2","0","7","3",NA,"0.783417936","1","3"
