MALARIA,IND,sex,DPI,TL(Telomere length),BM (Body mass),logBM,HM (Hematocrit ),logHM,% parasitemia,telomere loss,logitpeal parasitemia,logit telomere loss
1,366,1,1,1.33E+00,14.3,1.155336037,53.6,1.72916479,,,,
1,366,1,6,9.79E-01,14.3,1.155336037,53.6,1.72916479,0.0231,,,
1,366,1,11,1.26E+00,14.3,1.155336037,53.6,1.72916479,1,,,
1,366,1,16,1.33E+00,14.3,1.155336037,53.6,1.72916479,6.94,,,
1,366,1,21,1.32E+00,14.3,1.155336037,53.6,1.72916479,48,,,
1,366,1,26,6.12E-01,14.3,1.155336037,53.6,1.72916479,34.333,,,
1,366,1,31,8.18E-01,14.3,1.155336037,53.6,1.72916479,21.8,,,
1,366,1,105,,14.3,1.155336037,53.6,1.72916479,,,,
1,373,1,1,1.40E+00,11.7,1.068185862,50,1.698970004,,,,
1,373,1,6,8.71E-01,11.7,1.068185862,50,1.698970004,0.0231,,,
1,373,1,11,6.65E-01,11.7,1.068185862,50,1.698970004,0.1492,,,
1,373,1,16,3.38E-01,11.7,1.068185862,50,1.698970004,10,,,
1,373,1,21,9.26E-01,11.7,1.068185862,50,1.698970004,37.4,6.66E+01,-0.223702731,0.299727762
1,373,1,26,6.95E-01,11.7,1.068185862,50,1.698970004,5.913,,,
1,373,1,31,9.05E-01,11.7,1.068185862,50,1.698970004,3.066,,,
1,373,1,105,4.68E-01,11.7,1.068185862,50,1.698970004,1.8,,,
1,429,2,1,1.09E+00,10.6,1.025305865,,,,,,
1,429,2,6,6.93E-01,10.6,1.025305865,,,0.0216,,,
1,429,2,11,4.95E-01,10.6,1.025305865,,,2.044,,,
1,429,2,16,1.04E+00,10.6,1.025305865,,,12.3,,,
1,429,2,21,1.74E+00,10.6,1.025305865,,,45.2266,3.49E+01,-0.083642124,-0.270755562
1,429,2,26,1.24E+00,10.6,1.025305865,,,12.3,,,
1,429,2,31,1.20E+00,10.6,1.025305865,,,16.2,,,
1,429,2,105,7.06E-01,10.6,1.025305865,,,0.7,,,
1,430,1,1,9.52E-01,11.7,1.068185862,,,,,,
1,430,1,6,1.21E+00,11.7,1.068185862,,,0.0156,,,
1,430,1,11,,11.7,1.068185862,,,0.6481,,,
1,430,1,16,1.38E+00,11.7,1.068185862,,,8.2857,,,
1,430,1,21,8.94E-01,11.7,1.068185862,,,44.7813,,,
1,430,1,26,,11.7,1.068185862,,,,,,
1,430,1,31,,11.7,1.068185862,,,,,,
1,430,1,105,,11.7,1.068185862,,,,,,
1,432,1,1,1.95E+00,11.9,1.075546961,,,,,,
1,432,1,6,1.01E+00,11.9,1.075546961,,,0.0581,,,
1,432,1,11,8.05E-01,11.9,1.075546961,,,0.9804,,,
1,432,1,16,1.21E+00,11.9,1.075546961,,,9.2333,,,
1,432,1,21,1.06E+00,11.9,1.075546961,,,52.5333,8.30E+01,0.043465694,0.688629171
1,432,1,26,9.66E-01,11.9,1.075546961,,,26.6,,,
1,432,1,31,1.01E+00,11.9,1.075546961,,,19.3,,,
1,432,1,105,3.30E-01,11.9,1.075546961,,,2.1,,,
0,434,2,1,1.60E+00,12.9,1.11058971,,,,,,
0,434,2,6,1.32E+00,12.9,1.11058971,,,,,,
